title,price,availability,rating,product_url,category,price_gbp
The Genius of Birds,Â£17.24,In stock,1,https://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html,Nonfiction,17.24
The Emerald Mystery,Â£23.15,In stock,2,https://books.toscrape.com/catalogue/the-emerald-mystery_842/index.html,Default,23.15
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Â£41.25,In stock,1,https://books.toscrape.com/catalogue/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html,Food and Drink,41.25
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Â£32.00,In stock,3,https://books.toscrape.com/catalogue/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html,Default,32.0
The Artist's Way: A Spiritual Path to Higher Creativity,Â£38.49,In stock,5,https://books.toscrape.com/catalogue/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,Nonfiction,38.49
The Art of War,Â£33.34,In stock,5,https://books.toscrape.com/catalogue/the-art-of-war_838/index.html,Default,33.34
The Argonauts,Â£10.93,In stock,2,https://books.toscrape.com/catalogue/the-argonauts_837/index.html,Autobiography,10.93
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Â£27.55,In stock,3,https://books.toscrape.com/catalogue/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html,Business,27.55
Suddenly in Love (Lake Haven #1),Â£55.99,In stock,2,https://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html,Romance,55.99
Something More Than This,Â£16.24,In stock,4,https://books.toscrape.com/catalogue/something-more-than-this_834/index.html,Romance,16.24
Soft Apocalypse,Â£26.12,In stock,2,https://books.toscrape.com/catalogue/soft-apocalypse_833/index.html,Science Fiction,26.12
So You've Been Publicly Shamed,Â£12.23,In stock,2,https://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html,Nonfiction,12.23
Shoe Dog: A Memoir by the Creator of NIKE,Â£23.99,In stock,2,https://books.toscrape.com/catalogue/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html,Business,23.99
"Shobu Samurai, Project Aryoku (#3)",Â£29.06,In stock,3,https://books.toscrape.com/catalogue/shobu-samurai-project-aryoku-3_830/index.html,Add a comment,29.06
Secrets and Lace (Fatal Hearts #1),Â£20.27,In stock,1,https://books.toscrape.com/catalogue/secrets-and-lace-fatal-hearts-1_829/index.html,Default,20.27
Scarlett Epstein Hates It Here,Â£43.55,In stock,5,https://books.toscrape.com/catalogue/scarlett-epstein-hates-it-here_828/index.html,Young Adult,43.55
Romero and Juliet: A Tragic Tale of Love and Zombies,Â£36.94,In stock,1,https://books.toscrape.com/catalogue/romero-and-juliet-a-tragic-tale-of-love-and-zombies_827/index.html,Default,36.94
Redeeming Love,Â£20.47,In stock,5,https://books.toscrape.com/catalogue/redeeming-love_826/index.html,Christian Fiction,20.47
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Â£41.06,In stock,1,https://books.toscrape.com/catalogue/poses-for-artists-volume-1-dynamic-and-sitting-poses-an-essential-reference-for-figure-drawing-and-the-human-form_825/index.html,Default,41.06
Poems That Make Grown Women Cry,Â£14.19,In stock,4,https://books.toscrape.com/catalogue/poems-that-make-grown-women-cry_824/index.html,Poetry,14.19
"Nightingale, Sing",Â£38.28,In stock,1,https://books.toscrape.com/catalogue/nightingale-sing_823/index.html,Young Adult,38.28
Night Sky with Exit Wounds,Â£41.05,In stock,1,https://books.toscrape.com/catalogue/night-sky-with-exit-wounds_822/index.html,Poetry,41.05
Mrs. Houdini,Â£30.25,In stock,5,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html,Historical Fiction,30.25
Modern Romance,Â£28.26,In stock,5,https://books.toscrape.com/catalogue/modern-romance_820/index.html,Add a comment,28.26
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),Â£10.76,In stock,1,https://books.toscrape.com/catalogue/miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html,Default,10.76
Louisa: The Extraordinary Life of Mrs. Adams,Â£16.85,In stock,2,https://books.toscrape.com/catalogue/louisa-the-extraordinary-life-of-mrs-adams_818/index.html,Biography,16.85
Little Red,Â£13.47,In stock,3,https://books.toscrape.com/catalogue/little-red_817/index.html,Childrens,13.47
Library of Souls (Miss Peregrineâs Peculiar Children #3),Â£48.56,In stock,5,https://books.toscrape.com/catalogue/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html,Young Adult,48.56
Large Print Heart of the Pride,Â£19.15,In stock,2,https://books.toscrape.com/catalogue/large-print-heart-of-the-pride_815/index.html,Default,19.15
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Â£57.36,In stock,4,https://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html,Womens Fiction,57.36
Hollow City (Miss Peregrineâs Peculiar Children #2),Â£42.98,In stock,1,https://books.toscrape.com/catalogue/hollow-city-miss-peregrines-peculiar-children-2_813/index.html,Fantasy,42.98
Grumbles,Â£22.16,In stock,2,https://books.toscrape.com/catalogue/grumbles_812/index.html,Default,22.16
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Â£49.43,In stock,4,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,Travel,49.43
Frostbite (Vampire Academy #2),Â£29.99,In stock,5,https://books.toscrape.com/catalogue/frostbite-vampire-academy-2_810/index.html,Young Adult,29.99
Follow You Home,Â£21.36,In stock,1,https://books.toscrape.com/catalogue/follow-you-home_809/index.html,Horror,21.36
First Steps for New Christians (Print Edition),Â£29.00,In stock,1,https://books.toscrape.com/catalogue/first-steps-for-new-christians-print-edition_808/index.html,Default,29.0
Finders Keepers (Bill Hodges Trilogy #2),Â£53.53,In stock,5,https://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html,Fiction,53.53
"Fables, Vol. 1: Legends in Exile (Fables #1)",Â£41.62,In stock,4,https://books.toscrape.com/catalogue/fables-vol-1-legends-in-exile-fables-1_806/index.html,Sequential Art,41.62
Eureka Trivia 6.0,Â£54.59,In stock,4,https://books.toscrape.com/catalogue/eureka-trivia-60_805/index.html,Default,54.59
Drive: The Surprising Truth About What Motivates Us,Â£34.95,In stock,4,https://books.toscrape.com/catalogue/drive-the-surprising-truth-about-what-motivates-us_804/index.html,Default,34.95
Done Rubbed Out (Reightman & Bailey #1),Â£37.72,In stock,5,https://books.toscrape.com/catalogue/done-rubbed-out-reightman-bailey-1_803/index.html,Default,37.72
Doing It Over (Most Likely To #1),Â£35.61,In stock,3,https://books.toscrape.com/catalogue/doing-it-over-most-likely-to-1_802/index.html,Romance,35.61
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Â£42.16,In stock,3,https://books.toscrape.com/catalogue/deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-lunches-and-simple-meals_801/index.html,Food and Drink,42.16
Dark Notes,Â£19.19,In stock,5,https://books.toscrape.com/catalogue/dark-notes_800/index.html,Erotica,19.19
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Â£19.43,In stock,3,https://books.toscrape.com/catalogue/daring-greatly-how-the-courage-to-be-vulnerable-transforms-the-way-we-live-love-parent-and-lead_799/index.html,Nonfiction,19.43
Close to You,Â£49.46,In stock,4,https://books.toscrape.com/catalogue/close-to-you_798/index.html,Christian Fiction,49.46
Chasing Heaven: What Dying Taught Me About Living,Â£37.80,In stock,2,https://books.toscrape.com/catalogue/chasing-heaven-what-dying-taught-me-about-living_797/index.html,Spirituality,37.8
Big Magic: Creative Living Beyond Fear,Â£30.80,In stock,3,https://books.toscrape.com/catalogue/big-magic-creative-living-beyond-fear_796/index.html,Nonfiction,30.8
Becoming Wise: An Inquiry into the Mystery and Art of Living,Â£27.43,In stock,2,https://books.toscrape.com/catalogue/becoming-wise-an-inquiry-into-the-mystery-and-art-of-living_795/index.html,Nonfiction,27.43
Beauty Restored (Riley Family Legacy Novellas #3),Â£11.11,In stock,2,https://books.toscrape.com/catalogue/beauty-restored-riley-family-legacy-novellas-3_794/index.html,Default,11.11
Batman: The Long Halloween (Batman),Â£36.50,In stock,2,https://books.toscrape.com/catalogue/batman-the-long-halloween-batman_793/index.html,Sequential Art,36.5
Batman: The Dark Knight Returns (Batman),Â£15.38,In stock,5,https://books.toscrape.com/catalogue/batman-the-dark-knight-returns-batman_792/index.html,Sequential Art,15.38
Ayumi's Violin,Â£15.48,In stock,2,https://books.toscrape.com/catalogue/ayumis-violin_791/index.html,Default,15.48
Anonymous,Â£46.82,In stock,4,https://books.toscrape.com/catalogue/anonymous_790/index.html,Default,46.82
Amy Meets the Saints and Sages,Â£18.46,In stock,3,https://books.toscrape.com/catalogue/amy-meets-the-saints-and-sages_789/index.html,Default,18.46
Amid the Chaos,Â£36.58,In stock,1,https://books.toscrape.com/catalogue/amid-the-chaos_788/index.html,Cultural,36.58
Amatus,Â£50.54,In stock,5,https://books.toscrape.com/catalogue/amatus_787/index.html,Default,50.54
Agnostic: A Spirited Manifesto,Â£12.51,In stock,5,https://books.toscrape.com/catalogue/agnostic-a-spirited-manifesto_786/index.html,Nonfiction,12.51
Zealot: The Life and Times of Jesus of Nazareth,Â£24.70,In stock,3,https://books.toscrape.com/catalogue/zealot-the-life-and-times-of-jesus-of-nazareth_785/index.html,History,24.7
You (You #1),Â£43.61,In stock,5,https://books.toscrape.com/catalogue/you-you-1_784/index.html,Thriller,43.61
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Â£37.34,In stock,4,https://books.toscrape.com/catalogue/wonder-woman-earth-one-volume-one-wonder-woman-earth-one-1_783/index.html,Sequential Art,37.34
Wild Swans,Â£14.36,In stock,2,https://books.toscrape.com/catalogue/wild-swans_782/index.html,Young Adult,14.36
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,Â£52.65,In stock,4,https://books.toscrape.com/catalogue/why-the-right-went-wrong-conservatism-from-goldwater-to-the-tea-party-and-beyond_781/index.html,Politics,52.65
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Â£38.20,In stock,4,https://books.toscrape.com/catalogue/whole-lotta-creativity-going-on-60-fun-and-unusual-exercises-to-awaken-and-strengthen-your-creativity_780/index.html,Nonfiction,38.2
What's It Like in Space?: Stories from Astronauts Who've Been There,Â£19.60,In stock,2,https://books.toscrape.com/catalogue/whats-it-like-in-space-stories-from-astronauts-whove-been-there_779/index.html,Nonfiction,19.6
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Â£53.90,In stock,1,https://books.toscrape.com/catalogue/we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html,Sequential Art,53.9
Walt Disney's Alice in Wonderland,Â£12.96,In stock,5,https://books.toscrape.com/catalogue/walt-disneys-alice-in-wonderland_777/index.html,Childrens,12.96
V for Vendetta (V for Vendetta Complete),Â£37.10,In stock,4,https://books.toscrape.com/catalogue/v-for-vendetta-v-for-vendetta-complete_776/index.html,Default,37.1
Until Friday Night (The Field Party #1),Â£46.31,In stock,2,https://books.toscrape.com/catalogue/until-friday-night-the-field-party-1_775/index.html,Young Adult,46.31
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Â£45.95,In stock,2,https://books.toscrape.com/catalogue/unbroken-a-world-war-ii-story-of-survival-resilience-and-redemption_774/index.html,Default,45.95
Twenty Yawns,Â£22.08,In stock,2,https://books.toscrape.com/catalogue/twenty-yawns_773/index.html,Childrens,22.08
Through the Woods,Â£25.38,In stock,2,https://books.toscrape.com/catalogue/through-the-woods_772/index.html,Sequential Art,25.38
This Is Where It Ends,Â£27.12,In stock,2,https://books.toscrape.com/catalogue/this-is-where-it-ends_771/index.html,Young Adult,27.12
The Year of Magical Thinking,Â£43.04,In stock,2,https://books.toscrape.com/catalogue/the-year-of-magical-thinking_770/index.html,Nonfiction,43.04
The Wright Brothers,Â£56.80,In stock,4,https://books.toscrape.com/catalogue/the-wright-brothers_769/index.html,Default,56.8
The White Queen (The Cousins' War #1),Â£25.91,In stock,5,https://books.toscrape.com/catalogue/the-white-queen-the-cousins-war-1_768/index.html,Add a comment,25.91
The Wedding Pact (The O'Malleys #2),Â£32.61,In stock,3,https://books.toscrape.com/catalogue/the-wedding-pact-the-omalleys-2_767/index.html,Romance,32.61
The Time Keeper,Â£27.88,In stock,5,https://books.toscrape.com/catalogue/the-time-keeper_766/index.html,Fiction,27.88
The Testament of Mary,Â£52.67,In stock,4,https://books.toscrape.com/catalogue/the-testament-of-mary_765/index.html,Fiction,52.67
The Star-Touched Queen,Â£46.02,In stock,5,https://books.toscrape.com/catalogue/the-star-touched-queen_764/index.html,Fantasy,46.02
The Songs of the Gods,Â£44.48,In stock,5,https://books.toscrape.com/catalogue/the-songs-of-the-gods_763/index.html,Default,44.48
The Song of Achilles,Â£37.40,In stock,5,https://books.toscrape.com/catalogue/the-song-of-achilles_762/index.html,Add a comment,37.4
The Rosie Project (Don Tillman #1),Â£54.04,In stock,1,https://books.toscrape.com/catalogue/the-rosie-project-don-tillman-1_761/index.html,Default,54.04
The Power of Habit: Why We Do What We Do in Life and Business,Â£16.88,In stock,3,https://books.toscrape.com/catalogue/the-power-of-habit-why-we-do-what-we-do-in-life-and-business_760/index.html,Default,16.88
The Marriage of Opposites,Â£28.08,In stock,4,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html,Historical Fiction,28.08
The Lucifer Effect: Understanding How Good People Turn Evil,Â£10.40,In stock,1,https://books.toscrape.com/catalogue/the-lucifer-effect-understanding-how-good-people-turn-evil_758/index.html,Psychology,10.4
The Long Haul (Diary of a Wimpy Kid #9),Â£44.07,In stock,1,https://books.toscrape.com/catalogue/the-long-haul-diary-of-a-wimpy-kid-9_757/index.html,Humor,44.07
The Loney,Â£23.40,In stock,1,https://books.toscrape.com/catalogue/the-loney_756/index.html,Horror,23.4
The Literature Book (Big Ideas Simply Explained),Â£17.43,In stock,3,https://books.toscrape.com/catalogue/the-literature-book-big-ideas-simply-explained_755/index.html,Nonfiction,17.43
The Last Mile (Amos Decker #2),Â£54.21,In stock,2,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,Mystery,54.21
The Immortal Life of Henrietta Lacks,Â£40.67,In stock,2,https://books.toscrape.com/catalogue/the-immortal-life-of-henrietta-lacks_753/index.html,Add a comment,40.67
The Hidden Oracle (The Trials of Apollo #1),Â£52.26,In stock,2,https://books.toscrape.com/catalogue/the-hidden-oracle-the-trials-of-apollo-1_752/index.html,Fantasy,52.26
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Â£28.77,In stock,3,https://books.toscrape.com/catalogue/the-help-yourself-cookbook-for-kids-60-easy-plant-based-recipes-kids-can-make-to-stay-healthy-and-save-the-earth_751/index.html,Food and Drink,28.77
The Guilty (Will Robie #4),Â£13.82,In stock,2,https://books.toscrape.com/catalogue/the-guilty-will-robie-4_750/index.html,Thriller,13.82
The First Hostage (J.B. Collins #2),Â£25.85,In stock,3,https://books.toscrape.com/catalogue/the-first-hostage-jb-collins-2_749/index.html,Fiction,25.85
The Dovekeepers,Â£48.78,In stock,1,https://books.toscrape.com/catalogue/the-dovekeepers_748/index.html,Add a comment,48.78
The Darkest Lie,Â£35.35,In stock,5,https://books.toscrape.com/catalogue/the-darkest-lie_747/index.html,Young Adult,35.35
The Bane Chronicles (The Bane Chronicles #1-11),Â£44.73,In stock,4,https://books.toscrape.com/catalogue/the-bane-chronicles-the-bane-chronicles-1-11_746/index.html,Fantasy,44.73
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,Â£15.77,In stock,1,https://books.toscrape.com/catalogue/the-bad-ass-librarians-of-timbuktu-and-their-race-to-save-the-worlds-most-precious-manuscripts_745/index.html,Nonfiction,15.77
The 14th Colony (Cotton Malone #11),Â£39.24,In stock,1,https://books.toscrape.com/catalogue/the-14th-colony-cotton-malone-11_744/index.html,Thriller,39.24
That Darkness (Gardiner and Renner #1),Â£13.92,In stock,1,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,Mystery,13.92
Tastes Like Fear (DI Marnie Rome #3),Â£10.69,In stock,1,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,Mystery,10.69
Take Me with You,Â£45.21,In stock,3,https://books.toscrape.com/catalogue/take-me-with-you_741/index.html,Fiction,45.21
Swell: A Year of Waves,Â£45.58,In stock,1,https://books.toscrape.com/catalogue/swell-a-year-of-waves_740/index.html,Nonfiction,45.58
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Â£11.89,In stock,5,https://books.toscrape.com/catalogue/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html,Sequential Art,11.89
Still Life with Bread Crumbs,Â£26.41,In stock,3,https://books.toscrape.com/catalogue/still-life-with-bread-crumbs_738/index.html,Fiction,26.41
Steve Jobs,Â£39.50,In stock,5,https://books.toscrape.com/catalogue/steve-jobs_737/index.html,Default,39.5
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Â£44.74,In stock,4,https://books.toscrape.com/catalogue/sorting-the-beef-from-the-bull-the-science-of-food-fraud-forensics_736/index.html,Science,44.74
Someone Like You (The Harrisons #2),Â£52.79,In stock,5,https://books.toscrape.com/catalogue/someone-like-you-the-harrisons-2_735/index.html,Contemporary,52.79
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Â£35.43,In stock,4,https://books.toscrape.com/catalogue/so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html,Sequential Art,35.43
Shtum,Â£55.84,In stock,4,https://books.toscrape.com/catalogue/shtum_733/index.html,Fiction,55.84
See America: A Celebration of Our National Parks & Treasured Sites,Â£48.87,In stock,3,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,Travel,48.87
salt.,Â£46.78,In stock,4,https://books.toscrape.com/catalogue/salt_731/index.html,Poetry,46.78
Robin War,Â£47.82,In stock,3,https://books.toscrape.com/catalogue/robin-war_730/index.html,Sequential Art,47.82
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Â£25.48,In stock,2,https://books.toscrape.com/catalogue/red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html,Sequential Art,25.48
Rain Fish,Â£23.57,In stock,3,https://books.toscrape.com/catalogue/rain-fish_728/index.html,Childrens,23.57
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Â£50.89,In stock,5,https://books.toscrape.com/catalogue/quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html,Poetry,50.89
Pet Sematary,Â£10.56,In stock,3,https://books.toscrape.com/catalogue/pet-sematary_726/index.html,Horror,10.56
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",Â£52.15,In stock,3,https://books.toscrape.com/catalogue/overload-how-to-unplug-unwind-and-unleash-yourself-from-the-pressure-of-stress_725/index.html,Self Help,52.15
Once Was a Time,Â£18.28,In stock,2,https://books.toscrape.com/catalogue/once-was-a-time_724/index.html,Childrens,18.28
Old School (Diary of a Wimpy Kid #10),Â£11.83,In stock,5,https://books.toscrape.com/catalogue/old-school-diary-of-a-wimpy-kid-10_723/index.html,Humor,11.83
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Â£21.95,In stock,2,https://books.toscrape.com/catalogue/no-dream-is-too-high-life-lessons-from-a-man-who-walked-on-the-moon_722/index.html,Nonfiction,21.95
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Â£38.39,In stock,2,https://books.toscrape.com/catalogue/naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html,Sequential Art,38.39
My Name Is Lucy Barton,Â£41.56,In stock,1,https://books.toscrape.com/catalogue/my-name-is-lucy-barton_720/index.html,Fiction,41.56
My Mrs. Brown,Â£24.48,In stock,3,https://books.toscrape.com/catalogue/my-mrs-brown_719/index.html,Fiction,24.48
My Kind of Crazy,Â£40.36,In stock,1,https://books.toscrape.com/catalogue/my-kind-of-crazy_718/index.html,Young Adult,40.36
Mr. Mercedes (Bill Hodges Trilogy #1),Â£28.90,In stock,1,https://books.toscrape.com/catalogue/mr-mercedes-bill-hodges-trilogy-1_717/index.html,Fiction,28.9
More Than Music (Chasing the Dream #1),Â£37.61,In stock,2,https://books.toscrape.com/catalogue/more-than-music-chasing-the-dream-1_716/index.html,Add a comment,37.61
Made to Stick: Why Some Ideas Survive and Others Die,Â£38.85,In stock,5,https://books.toscrape.com/catalogue/made-to-stick-why-some-ideas-survive-and-others-die_715/index.html,Business,38.85
Luis Paints the World,Â£53.95,In stock,3,https://books.toscrape.com/catalogue/luis-paints-the-world_714/index.html,Childrens,53.95
Luckiest Girl Alive,Â£49.83,In stock,3,https://books.toscrape.com/catalogue/luckiest-girl-alive_713/index.html,Default,49.83
Lowriders to the Center of the Earth (Lowriders in Space #2),Â£51.51,In stock,2,https://books.toscrape.com/catalogue/lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html,Sequential Art,51.51
Love Is a Mix Tape (Music #1),Â£18.03,In stock,1,https://books.toscrape.com/catalogue/love-is-a-mix-tape-music-1_711/index.html,Music,18.03
Looking for Lovely: Collecting the Moments that Matter,Â£29.14,In stock,5,https://books.toscrape.com/catalogue/looking-for-lovely-collecting-the-moments-that-matter_710/index.html,Nonfiction,29.14
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",Â£46.91,In stock,4,https://books.toscrape.com/catalogue/living-leadership-by-insight-a-good-leader-achieves-a-great-leader-builds-monuments_709/index.html,Default,46.91
Let It Out: A Journey Through Journaling,Â£26.79,In stock,5,https://books.toscrape.com/catalogue/let-it-out-a-journey-through-journaling_708/index.html,Nonfiction,26.79
Lady Midnight (The Dark Artifices #1),Â£16.28,In stock,5,https://books.toscrape.com/catalogue/lady-midnight-the-dark-artifices-1_707/index.html,Default,16.28
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",Â£19.55,In stock,1,https://books.toscrape.com/catalogue/its-all-easy-healthy-delicious-weeknight-meals-in-under-30-minutes_706/index.html,Food and Drink,19.55
Island of Dragons (Unwanteds #7),Â£29.65,In stock,1,https://books.toscrape.com/catalogue/island-of-dragons-unwanteds-7_705/index.html,Fantasy,29.65
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,Â£25.98,In stock,4,https://books.toscrape.com/catalogue/i-know-what-im-doing-and-other-lies-i-tell-myself-dispatches-from-a-life-under-construction_704/index.html,Humor,25.98
I Am Pilgrim (Pilgrim #1),Â£10.60,In stock,4,https://books.toscrape.com/catalogue/i-am-pilgrim-pilgrim-1_703/index.html,Fiction,10.6
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Â£14.75,In stock,5,https://books.toscrape.com/catalogue/hyperbole-and-a-half-unfortunate-situations-flawed-coping-mechanisms-mayhem-and-other-things-that-happened_702/index.html,Humor,14.75
"Hush, Hush (Hush, Hush #1)",Â£47.02,In stock,3,https://books.toscrape.com/catalogue/hush-hush-hush-hush-1_701/index.html,Default,47.02
Hold Your Breath (Search and Rescue #1),Â£28.82,In stock,1,https://books.toscrape.com/catalogue/hold-your-breath-search-and-rescue-1_700/index.html,Romance,28.82
Hamilton: The Revolution,Â£58.79,In stock,3,https://books.toscrape.com/catalogue/hamilton-the-revolution_699/index.html,Nonfiction,58.79
Greek Mythic History,Â£10.23,In stock,5,https://books.toscrape.com/catalogue/greek-mythic-history_698/index.html,Default,10.23
God: The Most Unpleasant Character in All Fiction,Â£30.03,In stock,5,https://books.toscrape.com/catalogue/god-the-most-unpleasant-character-in-all-fiction_697/index.html,Religion,30.03
Glory over Everything: Beyond The Kitchen House,Â£45.84,In stock,3,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html,Historical Fiction,45.84
Feathers: Displays of Brilliant Plumage,Â£49.05,In stock,3,https://books.toscrape.com/catalogue/feathers-displays-of-brilliant-plumage_695/index.html,Art,49.05
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Â£15.06,In stock,4,https://books.toscrape.com/catalogue/far-away-places-on-the-brink-of-change-seven-continents-twenty-five-years_694/index.html,Nonfiction,15.06
Every Last Word,Â£46.47,In stock,3,https://books.toscrape.com/catalogue/every-last-word_693/index.html,Default,46.47
Eligible (The Austen Project #4),Â£27.09,In stock,3,https://books.toscrape.com/catalogue/eligible-the-austen-project-4_692/index.html,Fiction,27.09
El Deafo,Â£57.62,In stock,5,https://books.toscrape.com/catalogue/el-deafo_691/index.html,Sequential Art,57.62
Eight Hundred Grapes,Â£14.39,In stock,4,https://books.toscrape.com/catalogue/eight-hundred-grapes_690/index.html,Fiction,14.39
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Â£51.75,In stock,5,https://books.toscrape.com/catalogue/eaternity-more-than-150-deliciously-easy-vegan-recipes-for-a-long-healthy-satisfied-joyful-life_689/index.html,Nonfiction,51.75
"Eat Fat, Get Thin",Â£54.07,In stock,2,https://books.toscrape.com/catalogue/eat-fat-get-thin_688/index.html,Health,54.07
Don't Get Caught,Â£55.35,In stock,1,https://books.toscrape.com/catalogue/dont-get-caught_687/index.html,Young Adult,55.35
Doctor Sleep (The Shining #2),Â£40.12,In stock,2,https://books.toscrape.com/catalogue/doctor-sleep-the-shining-2_686/index.html,Horror,40.12
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),Â£37.51,In stock,5,https://books.toscrape.com/catalogue/demigods-magicians-percy-and-annabeth-meet-the-kanes-percy-jackson-kane-chronicles-crossover-1-3_685/index.html,Fantasy,37.51
Dear Mr. Knightley,Â£11.21,In stock,5,https://books.toscrape.com/catalogue/dear-mr-knightley_684/index.html,Fiction,11.21
Daily Fantasy Sports,Â£36.58,In stock,1,https://books.toscrape.com/catalogue/daily-fantasy-sports_683/index.html,Default,36.58
Crazy Love: Overwhelmed by a Relentless God,Â£47.72,In stock,2,https://books.toscrape.com/catalogue/crazy-love-overwhelmed-by-a-relentless-god_682/index.html,Christian,47.72
Cometh the Hour (The Clifton Chronicles #6),Â£25.01,In stock,3,https://books.toscrape.com/catalogue/cometh-the-hour-the-clifton-chronicles-6_681/index.html,Fiction,25.01
Code Name Verity (Code Name Verity #1),Â£22.13,In stock,4,https://books.toscrape.com/catalogue/code-name-verity-code-name-verity-1_680/index.html,Add a comment,22.13
Clockwork Angel (The Infernal Devices #1),Â£44.14,In stock,1,https://books.toscrape.com/catalogue/clockwork-angel-the-infernal-devices-1_679/index.html,Default,44.14
City of Glass (The Mortal Instruments #3),Â£56.02,In stock,4,https://books.toscrape.com/catalogue/city-of-glass-the-mortal-instruments-3_678/index.html,Fantasy,56.02
City of Fallen Angels (The Mortal Instruments #4),Â£11.23,In stock,4,https://books.toscrape.com/catalogue/city-of-fallen-angels-the-mortal-instruments-4_677/index.html,Default,11.23
City of Bones (The Mortal Instruments #1),Â£43.28,In stock,1,https://books.toscrape.com/catalogue/city-of-bones-the-mortal-instruments-1_676/index.html,Default,43.28
